Mode Used: BANG_BANG_MENU
Parameters Used: {"baseSpeed":250,"turnSpeedMultiplier":0.25,"bangBangThreshold":0.65,"sensorPeriod":0.0001,"controlPeriod":0.0001,"motorRegulatePeriod":0.1,"motorKp":0.01,"motorKi":0.01,"debugFlag":1}


--- MOTOR_LEFT Debug Data ---
Timestamp, distance, speed, target_speed, error, adjustment, persistent_error, newSpeed, originalSpeed
"8080",20.34087,142.96875,150,7.03125,0.00111,0.26263,0.65514,0.38916
"8130",20.39687,157.61719,150,-7.61719,-0.00097,0.26403,0.65027,0.38916
"8180",20.45909,137.10938,150,12.89062,0.00195,0.26501,0.66002,0.38916
"8230",20.52011,152.34375,150,-2.34375,-0.00022,0.27042,0.65892,0.38916
"8280",20.58711,148.24219,150,1.75781,0.00037,0.2705,0.66075,0.38916
"8330",20.6467,165.23438,150,-15.23438,-0.00206,0.26749,0.65048,0.38916
"8380",20.71011,145.89844,150,4.10156,0.0007,0.26271,0.65396,0.38916
"8430",20.7697,156.44531,150,-6.44531,-0.00081,0.26319,0.64994,0.38916
"8480",20.83288,144.72656,150,5.27344,0.00086,0.2625,0.65425,0.38916
"8530",20.88863,155.27344,150,-5.27344,-0.00064,0.26382,0.65106,0.38916
"8580",20.95181,135.9375,150,14.0625,0.00212,0.26613,0.66164,0.38916
"8630",21.01331,154.6875,150,-4.6875,-0.00055,0.27138,0.65888,0.38916
"8680",21.08031,149.41406,150,0.58594,0.0002,0.27012,0.65987,0.38916
"8730",21.13942,164.64844,150,-14.64844,-0.00197,0.26677,0.65002,0.38916
"8780",21.2026,145.3125,150,4.6875,0.00078,0.26242,0.65392,0.38916
"8830",21.26218,154.6875,150,-4.6875,-0.00056,0.26365,0.65114,0.38916
"8880",21.32488,145.3125,150,4.6875,0.00078,0.26354,0.65504,0.38916
"8930",21.38159,154.6875,150,-4.6875,-0.00055,0.26477,0.65227,0.38916
"8980",21.44429,138.28125,150,11.71875,0.00178,0.26667,0.66118,0.38916
"9030",21.50603,152.92969,150,-2.92969,-0.0003,0.27142,0.65967,0.38916
"9080",21.5728,150.58594,125,-25.58594,-0.00353,0.26844,0.64915,0.38916
"9130",21.62999,164.64844,125,-39.64844,-0.00554,0.24892,0.62146,0.38916
"9180",21.69149,140.03906,125,-15.03906,-0.00204,0.22822,0.61125,0.38916
"9230",21.74725,151.75781,125,-26.75781,-0.00372,0.21466,0.59267,0.38916
"9280",21.80803,135.35156,125,-10.35156,-0.00139,0.20073,0.58573,0.38916
"9330",21.85948,150,125,-25,-0.00348,0.18962,0.56834,0.38916
"9380",21.91404,125.97656,125,-0.97656,-0.00006,0.17906,0.56804,0.38916
"9430",21.96477,133.00781,125,-8.00781,-0.00107,0.17675,0.56271,0.38916
"9480",22.01909,124.21875,125,0.78125,0.00019,0.17392,0.56364,0.38916
"9530",22.07198,133.00781,125,-8.00781,-0.00107,0.17235,0.55831,0.38916
"9580",22.12032,130.66406,125,-5.66406,-0.00074,0.16768,0.55464,0.38916
"9630",22.17464,118.35938,125,6.64062,0.00102,0.16751,0.55972,0.38916
"9680",22.22465,131.83594,125,-6.83594,-0.0009,0.16876,0.55522,0.38916
"9730",22.28089,123.04688,125,1.95312,0.00035,0.16675,0.55696,0.38916
"9780",22.33066,137.10938,125,-12.10938,-0.00165,0.1645,0.54869,0.38916
"9830",22.3814,122.46094,125,2.53906,0.00043,0.1604,0.55085,0.38916
"9880",22.43428,124.21875,125,0.78125,0.00018,0.16205,0.55175,0.38916
"9930",22.48573,130.07812,125,-5.07812,-0.00065,0.16128,0.54848,0.38916
"9980",22.54101,124.80469,125,0.19531,0.0001,0.15951,0.54896,0.38916
